(て) しまう	～(て) しまう	to end up ~
漬ける	つける	to soak, to moisten, to pickle
濡れる	ぬれる	to get wet
火事	かじ	fire
点く	つく	to be started, to be switched on
無くなる	なくなる	to disappear, to get lost
無理	むり	unreasonable, impossible
焼く	やく	to bake, to grill
焼ける	やける	to burn, to be roasted
熱心	ねっしん	enthusiasm
片付ける	かたづける	to (clean) tidy up (v.t.), to put away
特に	とくに	particularly
特別	とくべつ	special
特急	とっきゅう	limited express (train faster than an express)
珍しい	めずらしい	unusual, rare
理由	りゆう	reason
生きる	いきる	to live
生活	せいかつする	living, life; to live
生産	せいさんする	production; to produce
産業	さんぎょう	industry
用事	ようじ	business to take care of; tasks; errands
用意	ようい	preparation
田舎	いなか	rural, countryside
申し上げる	もうしあげる	(humble)to say, to tell
申す	もうす	-- extra-modest (humble) expression for 言う (いう) --
男性	だんせい	man; male
町	～ちょう	the town of ~
留守	るす	absence; not at home
番組	ばんぐみ	broadcast program
痩せる	やせる	to lose weight
発音	はつおん	pronunciation
盗む	ぬすむ	to steal; to rob
盛ん	さかん	prosperous, active, thriving
目	～め	number ~ sequence, ~nd; ~th
直す	なおす	to correct (v.t.); to fix
直る	なおる	to be fixed
相談	そうだんする	consultation
看護婦	かんごふ	(female) nurse
真中	まんなか	middle, center
真面目	まじめ	diligent, serious
眠い	ねむい	sleepy, drowsy
眠る	ねむる	to sleep
着物	きもの	kimono; Japanese traditional dress
知らせる	しらせる	to notify
研究	けんきゅう	study, research, investigation
研究室	けんきゅうしつ	the professor's office; laboratory
確か	たしか	if I remember correctly; certain, definite
社会	しゃかい	society
社長	しゃちょう	president of a company
祈る	いのる	to pray; to wish
祖母	そぼ	grandmother
祖父	そふ	grandfather
神社	じんじゃ	Shinto shrine
科学	かがく	science
移る	うつる	to move (from a house); to transfer (from a department); to shift
空く	あく	to be empty (in reference to people), to be less crowded
空気	くうき	air, atmosphere
空港	くうこう	airport
立てる	たてる	to stand (something) up, to erect (something)
競争	きょうそう	competition, contest
笑う	わらう	to laugh, to smile
簡単	かんたん	simple
約束	やくそく	arrangement, appointment, promise
素晴らしい	すばらしい	wonderful; terrific
細かい	こまかい	small; fine, minute
紹介	しょうかい	an introduction
終わり	おわり	end
経済	けいざい	economics, finance, economy
経験	けいけんする	experience
続く	つづく	to be continued
続ける	～つづける	to continue, to keep up
美しい	うつくしい	beautiful, lovely
美術館	びじゅつかん	art gallery, art museum
習慣	しゅうかん	custom (in reference to culture)
翻訳	ほんやく	translation
考える	かんがえる	to think (about); to consider
聞こえる	きこえる	to be heard, to be audible
育てる	そだてる	to raise (v.t.); to bring up
背中	せなか	back (of body)
自由	じゆう	freedom
致す	いたす	-- extra-modest expression for する --
興味	きょうみ	interest (in something)
花見	はなみ	cherry-blossom viewing
苦い	にがい	bitter
落す	おとす	to drop, to lose
落る	おちる	to fall, to drop
行う	おこなう	to carry out; to conduct (typically used in written language)
製	～せい	made in ~
複雑	ふくざつ	complexity, complication
褒める	ほめる	to praise; to say nice things
西洋	せいよう	the West, Western countries
見える	みえる	to be visible; -- polite verb meaning 来る (くる) --
見つかる	みつかる	to be found (v.i.), to be discovered
見つける	みつける	to discover, to find (v.t.)
見物	けんぶつ	sightseeing
規則	きそく	rule, regulation
親切	しんせつ	kindness
触る	さわる	to touch, to feel
計画	けいかくする	plan, project, schedule
訪ねる	たずねる	to visit
試合	しあい	match, game, competition
試験	しけん	an exam
説明	せつめい	explanation
課長	かちょう	section manager
調べる	しらべる	to check; to look up; to inquire; to search
講堂	こうどう	auditorium
講義	こうぎ	a lecture
謝る	あやまる	to apologize
警察	けいさつ	police; police station
負ける	まける	to lose (a game) (v.i.), to be defeated
貿易	ぼうえき	trade
贈り物	おくりもの	a gift; a present
赤ちゃん	あかちゃん	baby, infant
赤ん坊	あかんぼう	baby
起こす	おこす	to wake (someone) up
趣味	しゅみ	hobby; pastime
足す	たす	to add (numbers)
足りる	たりる	to be sufficient; to be enough
踊り	おどり	dance
踊る	おどる	to dance
踏む	ふむ	to step on, to tread on
軒	～けん	counter for houses
輸入	ゆにゅう	import
輸出	ゆしゅつする	export
辞典	じてん	encyclopedia, reference book
込む	こむ	to be crowded
迎える	むかえる	to welcome; to meet; to greet
近所	きんじょ	neighborhood
返事	へんじ	reply, answer
退院	たいいんする	leaving hospital
送る	おくる	to send, to dispatch
逃げる	にげる	to escape, to run away
途中	とちゅう	on the way, midway
通う	かよう	to go back and forth; to commute
通り	とおり	~ Street, ~ Avenue
通る	とおる	to pass (by), to go through
連れる	つれる	to lead, to take (a person)
連絡	れんらく	communication, contact, connection
進む	すすむ	to advance, to proceed
遅れる	おくれる	to (be) become late
遊び	あそび	play
運ぶ	はこぶ	to transport, to carry
運動	うんどうする	exercise
運転	うんてんする	driving
運転手	うんてんしゅ	driver (by occupation)
過ぎる	すぎる	to exceed, to go beyond
道具	どうぐ	tool
遠く	とおく	far away, distant
遠慮	えんりょする	restraint, reserve, hesitate
適当	てきとう	fitness, suitability
選ぶ	えらぶ	to choose; to select
邪魔	じゃま	hindrance, intrusion
郊外	こうがい	suburb, outskirts
部長	ぶちょう	department (division) manager
都合	つごう	circumstances, convenience
釣る	つる	to fish
開く	ひらく	to open; to hold (an event)
間に合う	まにあう	to be in time for
間違える	まちがえる	to make a mistake
関係	かんけい	relation(ship), connection
随分	ずいぶん	extremely
集まる	あつまる	to gather (v.i.), to collect
集める	あつめる	to collect, to gather (v.t.), to assemble
電報	でんぽう	telegram
電灯	でんとう	electric light
非常に	ひじょうに	extremely; very
頑張る	がんばる	to try one's best, to try hard, to persist
飛行場	ひこうじょう	airport
食事	しょくじする	meal
食料品	しょくりょうひん	foodstuff, groceries
飾る	かざる	to decorate, to adorn
駐車場	ちゅうしゃじょう	parking lot
騒ぐ	さわぐ	to make noise, to clamor
驚く	おどろく	to be surprised, to be astonished
高校	こうこう	high school; senior high school
高校生	こうこうせい	high school student
鳴る	なる	to sound, to ring (v.i.)
